
"Acrimony","신랄"
"Anointing Unstable Munitions changes nothing.","불안정한 탄약 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Unstable Munitions will give you","불안정한 탄약 성유를 부으면 다음 효과를 제공"
"Anointing Utmost Intellect changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 극에 이른 지능 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Utmost Intellect changes nothing because this node is already anointed.","이 노드에는 이미 극에 이른 지능 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Utmost Intellect changes nothing.","극에 이른 지능 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Utmost Intellect will give you","극에 이른 지능 성유를 부으면 다음 효과를 제공"
"Anointing Utmost Might changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 극에 이른 힘 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Utmost Might changes nothing because this node is already anointed.","이 노드에는 이미 극에 이른 힘 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Utmost Might changes nothing.","극에 이른 힘 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Utmost Might will give you","극에 이른 힘 성유를 부으면 다음 효과를 제공"
"Anointing Utmost Swiftness changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 극에 이른 속도 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Utmost Swiftness changes nothing because this node is already anointed.","이 노드에는 이미 극에 이른 속도 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Utmost Swiftness changes nothing.","극에 이른 속도 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Utmost Swiftness will give you","극에 이른 속도 성유를 부으면 다음 효과를 제공"
"Anointing Vampirism changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 흡혈 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Vampirism changes nothing because this node is already anointed.","이 노드에는 이미 흡혈 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Vampirism changes nothing.","흡혈 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Vampirism will give you","흡혈 성유를 부으면 다음 효과를 제공"
"Anointing Vanquisher changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 격퇴자 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Vanquisher changes nothing because this node is already anointed.","이 노드에는 이미 격퇴자 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Vanquisher changes nothing.","격퇴자 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Vanquisher will give you","격퇴자 성유를 부으면 다음 효과를 제공"
"Anointing Vengeant Cascade changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 빗발치는 응징 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Vengeant Cascade changes nothing because this node is already anointed.","이 노드에는 이미 빗발치는 응징 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Vengeant Cascade changes nothing.","빗발치는 응징 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Vengeant Cascade will give you","빗발치는 응징 성유를 부으면 다음 효과를 제공"
"Anointing Versatility changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 융통성 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Versatility changes nothing because this node is already anointed.","이 노드에는 이미 융통성 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Versatility changes nothing.","융통성 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Versatility will give you","융통성 성유를 부으면 다음 효과를 제공"
"Anointing Veteran Soldier changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 역전 용사 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Veteran Soldier changes nothing because this node is already anointed.","이 노드에는 이미 역전 용사 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Veteran Soldier changes nothing.","역전 용사 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Veteran Soldier will give you","역전 용사 성유를 부으면 다음 효과를 제공"
"Anointing Vigour changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 활력 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Vigour changes nothing because this node is already anointed.","이 노드에는 이미 활력 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Vigour changes nothing.","활력 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Vigour will give you","활력 성유를 부으면 다음 효과를 제공"
"Anointing Vitality Void changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 활력 비우기 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Vitality Void changes nothing because this node is already anointed.","이 노드에는 이미 활력 비우기 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Vitality Void changes nothing.","활력 비우기 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Vitality Void will give you","활력 비우기 성유를 부으면 다음 효과를 제공"
"Anointing Void Barrier changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 공허 방어막 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Void Barrier changes nothing because this node is already anointed.","이 노드에는 이미 공허 방어막 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Void Barrier changes nothing.","공허 방어막 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Void Barrier will give you","공허 방어막 성유를 부으면 다음 효과를 제공"
"Anointing Volatile Mines changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 폭발성 지뢰 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Volatile Mines changes nothing because this node is already anointed.","이 노드에는 이미 폭발성 지뢰 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Volatile Mines changes nothing.","폭발성 지뢰 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Volatile Mines will give you","폭발성 지뢰 성유를 부으면 다음 효과를 제공"
"Anointing Wandslinger changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 마법봉 투척가 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Wandslinger changes nothing because this node is already anointed.","이 노드에는 이미 마법봉 투척가 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Wandslinger changes nothing.","마법봉 투척가 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Wandslinger will give you","마법봉 투척가 성유를 부으면 다음 효과를 제공"
